file,opt,cgates_average,cgates_stdev,depth_average,depth_stdev,amounts
benchmark_files__rand_108.qasm,1011,287.1111111111111,6.590303389483075,353.3333333333333,6.782329983125267,9
benchmark_files__rand_108.qasm,1100,297.22222222222223,7.3602200718574196,352.44444444444446,18.142100277231844,9
benchmark_files__rand_108.qasm,1101,289.6666666666667,8.027729719194863,338.6666666666667,15.456030825826172,9
benchmark_files__rand_108.qasm,1110,301.6666666666667,6.394442031083626,361.44444444444446,6.897843642297225,9
benchmark_files__rand_108.qasm,1111,292.77777777777777,4.076430295076476,335.77777777777777,11.202953755126643,9
benchmark_files__rand_109.qasm,0001,55.0,2.0,85.22222222222223,2.57240820062005,9
benchmark_files__rand_109.qasm,0010,68.33333333333333,2.357022603955158,86.66666666666667,2.5385910352879693,9
benchmark_files__rand_109.qasm,0011,53.0,1.4142135623730951,76.33333333333333,1.4907119849998598,9
benchmark_files__rand_109.qasm,0100,68.33333333333333,1.8856180831641267,89.66666666666667,4.8074017006186525,9
benchmark_files__rand_109.qasm,0101,53.666666666666664,2.7080128015453204,76.33333333333333,5.557777333511022,9
benchmark_files__rand_109.qasm,0110,68.33333333333333,1.8856180831641267,88.66666666666667,3.972125095937662,9
benchmark_files__rand_109.qasm,0111,52.44444444444444,2.4088314876309775,71.66666666666667,1.6996731711975948,9
benchmark_files__rand_109.qasm,1000,58.8,1.9899748742132397,97.2,5.878775382679628,10
benchmark_files__rand_109.qasm,1001,43.0,1.61245154965971,86.4,3.0397368307141326,10
benchmark_files__rand_109.qasm,1010,58.6,3.0724582991474434,98.6,5.4808758424178885,10
benchmark_files__rand_109.qasm,1011,44.2,2.0396078054371136,83.7,3.9509492530276824,10
benchmark_files__rand_109.qasm,1100,58.7,2.0999999999999996,90.7,5.622277118748239,10
benchmark_files__rand_109.qasm,1101,43.0,2.0976176963403033,81.4,4.004996878900157,10
benchmark_files__rand_109.qasm,1110,59.7,3.132091952673165,93.8,6.493073232299171,10
benchmark_files__rand_109.qasm,1111,42.7,2.4919871588754225,81.5,2.9748949561287032,10
benchmark_files__rand_11.qasm,0001,310.3,10.844814429025513,322.6,9.707728879609277,10
benchmark_files__rand_11.qasm,0010,318.0,10.686440005914037,299.1,11.022250223978768,10
benchmark_files__rand_11.qasm,0011,304.5,11.569356075426152,303.9,23.385679378628282,10
benchmark_files__rand_11.qasm,0100,331.4,6.545227268781428,321.0,24.73054791143941,10
benchmark_files__rand_11.qasm,0101,310.1,13.057181931795236,298.9,11.614215427655886,10
benchmark_files__rand_11.qasm,0110,316.9,7.892401408950256,291.7,7.576938695805847,10
benchmark_files__rand_11.qasm,0111,296.7,4.026164427839479,284.5,6.135959582656978,10
benchmark_files__rand_11.qasm,1000,278.6,7.172168430816443,339.3,15.408114745159448,10
benchmark_files__rand_11.qasm,1001,266.0,9.16515138991168,338.0,18.676188047886004,10
benchmark_files__rand_11.qasm,1010,278.5,7.338255923582933,343.0,25.37715508089904,10
benchmark_files__rand_11.qasm,1011,261.2,7.318469785412795,316.7,11.52432210587677,10
benchmark_files__rand_11.qasm,1100,283.3,9.950376877284599,312.3,11.13597772986279,10
benchmark_files__rand_11.qasm,1101,264.77777777777777,14.163943093313291,312.1111111111111,7.062332703142535,9
benchmark_files__rand_11.qasm,1110,275.22222222222223,4.779069592801459,314.55555555555554,10.688634785614434,9
benchmark_files__rand_11.qasm,1111,261.22222222222223,7.899054483189432,322.3333333333333,33.02187826948135,9
benchmark_files__rand_110.qasm,0001,298.22222222222223,7.785710240602157,287.6666666666667,17.281975195754292,9
benchmark_files__rand_110.qasm,0010,299.6666666666667,7.071067811865475,264.22222222222223,23.059236653925222,9
benchmark_files__rand_110.qasm,0011,287.6666666666667,7.055336829505575,250.88888888888889,28.32134822765503,9
benchmark_files__rand_110.qasm,0100,302.6666666666667,3.197221015541813,268.55555555555554,22.867303738021096,9
benchmark_files__rand_110.qasm,0101,288.1111111111111,6.623937138128391,232.77777777777777,27.60747796351874,9
benchmark_files__rand_110.qasm,0110,301.1111111111111,4.6772367066331535,265.6666666666667,18.01850900231944,9
benchmark_files__rand_110.qasm,0111,280.77777777777777,10.6016537261125,245.33333333333334,15.107025591499546,9
benchmark_files__rand_110.qasm,1000,269.44444444444446,10.382796787754371,300.22222222222223,21.238213870169538,9
benchmark_files__rand_110.qasm,1001,259.44444444444446,5.51988548816632,315.1111111111111,31.142840962408627,9
benchmark_files__rand_110.qasm,1010,268.77777777777777,7.238443322178814,298.8888888888889,18.579824448665004,9
benchmark_files__rand_110.qasm,1011,257.1111111111111,10.846857654991805,291.44444444444446,21.828172983611548,9
benchmark_files__rand_110.qasm,1100,272.1111111111111,7.69479541919146,309.44444444444446,30.808047689997103,9
benchmark_files__rand_110.qasm,1101,256.1111111111111,9.182646005064171,277.6666666666667,26.183115848873975,9
benchmark_files__rand_110.qasm,1110,267.55555555555554,5.101440125888443,295.77777777777777,27.899732287754933,9
